timestamp,username,src_ip,country,success,failure_reason
2024-01-26 12:46:04,root,45.91.57.7,Rusia,false,bad_password
2024-01-18 11:03:47,admin,45.27.52.174,,false,user_not_found
2024-02-24 12:28:45,admin,192.168.4.65,China,false,bad_password
2024-01-21 02:26:21,root,192.168.0.156,China,true,
2024-01-17 16:03:50,sa,45.64.16.8,Corea del Norte,false,account_locked
2024-01-25 02:37:04,administrator,45.21.111.60,Irán,false,user_not_found
2024-02-08 15:11:07,sa,45.74.13.144,Rusia,false,user_not_found
2024-01-02 02:54:37,oracle,192.168.0.187,Alemania,true,
2024-02-15 11:26:23,test,45.74.13.144,Irán,false,bad_password
2024-01-20 01:34:13,administrator,45.91.57.7,China,false,bad_password
2024-01-24 10:45:50,administrator,192.168.3.151,,true,
2024-02-27 01:20:35,root,45.79.44.152,Rusia,false,account_locked
2024-01-16 02:11:14,test,192.168.2.126,Rusia,true,
2024-01-10 16:03:33,root,45.79.44.152,Irán,false,bad_password
2024-02-25 13:44:55,sa,192.168.4.142,China,true,
2024-02-05 00:49:45,root,45.27.52.174,Corea del Norte,false,user_not_found
2024-02-02 16:16:43,oracle,192.168.4.197,Irán,true,
2024-02-04 04:14:40,sa,192.168.1.238,México,true,
2024-01-05 15:17:07,administrator,192.168.1.183,Brasil,true,
2024-02-20 10:05:33,root,192.168.0.98,Estados Unidos,false,bad_password
2024-01-21 12:52:39,admin,192.168.2.57,Corea del Norte,false,bad_password
2024-01-05 23:51:05,test,192.168.4.68,Rusia,true,
2024-02-22 02:41:15,jdoe,192.168.3.21,México,true,
2024-02-08 15:24:22,root,45.64.16.8,Irán,false,bad_password
2024-01-31 15:38:34,sa,192.168.0.251,Rusia,true,
2024-02-05 18:57:58,guest,192.168.2.254,Estados Unidos,true,
2024-02-14 04:29:04,administrator,45.74.13.144,China,false,bad_password
2024-01-31 14:00:07,mflores,192.168.5.227,Países Bajos,true,
2024-02-27 02:22:48,administrator,45.45.125.58,Irán,false,bad_password
2024-01-09 16:36:30,test,45.45.125.58,Rusia,false,user_not_found
2024-02-03 09:19:47,oracle,192.168.2.225,Países Bajos,true,
2024-01-05 03:53:30,admin,45.64.16.8,Rusia,false,user_not_found
2024-02-14 09:32:05,root,45.74.13.144,Corea del Norte,false,user_not_found
2024-01-26 10:51:56,admin,45.21.111.60,Corea del Norte,false,account_locked
2024-01-24 00:44:40,test,45.64.16.8,Irán,false,bad_password
2024-02-03 04:03:08,soporte,192.168.2.254,Países Bajos,true,
2024-01-23 03:39:55,sa,45.91.57.7,Rusia,false,account_locked
2024-02-01 01:59:32,soporte,192.168.1.96,China,true,
2024-02-01 01:16:59,sa,45.74.13.144,Irán,false,account_locked
2024-02-06 00:19:51,admin,45.79.44.152,China,false,user_not_found
2024-01-07 01:40:44,admin,45.79.44.152,Irán,false,bad_password
2024-02-15 14:10:13,administrator,45.35.214.57,Corea del Norte,false,user_not_found
2024-02-13 13:41:35,jdoe,192.168.4.17,Alemania,true,
2024-01-07 01:11:45,backup,192.168.1.33,Corea del Norte,false,bad_password
2024-01-28 11:03:24,jdoe,192.168.0.40,Rusia,true,
2024-01-31 15:41:57,test,192.168.4.142,Rusia,true,
2024-02-22 01:03:29,admin,45.79.44.152,Rusia,false,account_locked
2024-02-09 13:40:44,administrator,45.45.125.58,Irán,false,user_not_found
2024-02-26 09:28:14,administrator,45.45.125.58,Corea del Norte,false,user_not_found
2024-01-10 00:50:44,mflores,192.168.2.207,Estados Unidos,true,
2024-02-06 02:18:56,guest,192.168.0.250,Estados Unidos,false,bad_password
2024-02-28 04:53:14,sa,45.35.214.57,Irán,false,user_not_found
2024-01-01 11:45:20,sa,45.21.111.60,Irán,false,user_not_found
2024-01-24 01:56:10,test,192.168.5.225,Corea del Norte,true,
2024-01-13 03:48:21,admin,45.27.52.174,Corea del Norte,false,user_not_found
2024-01-12 03:02:04,sa,45.35.214.57,Irán,false,user_not_found
2024-02-28 11:16:08,sa,192.168.5.159,Estados Unidos,false,bad_password
2024-01-23 05:55:28,soporte,192.168.2.42,Estados Unidos,true,
2024-02-05 11:17:30,backup,192.168.0.156,China,true,
2024-01-14 04:27:49,root,45.35.214.57,China,false,bad_password
2024-01-25 13:34:14,soporte,192.168.2.62,China,true,
2024-01-22 04:05:52,root,192.168.2.180,China,true,
